epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.9086,1.04941,2.5421,1.19151,0.0055,0.89706,0.77748,0.56169,0.78952,2.65829,1.09001,0.00016,0.00016,0.00016
2,76.1029,0.81764,1.44193,1.04825,0.94412,0.24852,0.78625,0.61817,0.67839,2.36967,1.03305,0.000333268,0.000333268,0.000333268
3,113.029,0.75635,1.05716,1.01514,0.96202,0.74514,0.80899,0.6232,0.83299,1.99761,1.09533,0.000499408,0.000499408,0.000499408
4,150.117,0.79109,1.04454,0.98853,0.94349,0.73656,0.79929,0.59949,0.91236,1.78948,1.13974,0.00065842,0.00065842,0.00065842
5,187.459,0.83108,1.03483,1.03212,0.93323,0.60294,0.73719,0.57032,0.90086,2.13611,1.16696,0.000810304,0.000810304,0.000810304
6,224.573,0.81198,0.98926,1.02472,0.77341,0.66176,0.7227,0.50853,1.01623,1.96376,1.19503,0.00095506,0.00095506,0.00095506
7,263.079,0.8125,1.02949,1.03672,0.65005,0.62832,0.63569,0.44168,0.97849,1.86959,1.18001,0.00109269,0.00109269,0.00109269
8,300.037,0.78218,0.91713,1.01106,0.84356,0.71374,0.74228,0.512,1.28767,1.69393,1.51164,0.00122319,0.00122319,0.00122319
9,337.01,0.83517,0.93238,1.05194,0.74753,0.66176,0.71261,0.47109,1.20771,1.97417,1.49498,0.00134656,0.00134656,0.00134656
10,374.052,0.79616,0.91658,1.0213,0.92634,0.76471,0.85535,0.57545,1.06273,1.43756,1.50611,0.0014628,0.0014628,0.0014628
11,411.061,0.79639,0.86336,1.0172,0.84787,0.7377,0.83142,0.60287,0.94992,1.42706,1.36239,0.00157192,0.00157192,0.00157192
12,448.124,0.80431,0.9182,1.03072,0.88577,0.77941,0.86063,0.58602,1.02589,1.34243,1.20036,0.0015644,0.0015644,0.0015644
13,485.196,0.81704,0.83114,1.01987,0.85791,0.76471,0.8401,0.63715,0.85258,1.72585,1.14213,0.0015248,0.0015248,0.0015248
14,522.119,0.77416,0.81222,1.02032,0.90125,0.86765,0.89885,0.64111,0.96011,1.11872,1.17661,0.0014852,0.0014852,0.0014852
15,559.11,0.71855,0.76427,0.97099,0.96203,0.82353,0.89395,0.66407,0.91543,1.06008,1.15848,0.0014456,0.0014456,0.0014456
16,596.059,0.76602,0.78504,1.00195,0.91624,0.8044,0.87028,0.63653,0.85282,1.02404,1.11319,0.001406,0.001406,0.001406
17,633.083,0.73754,0.73791,0.9779,0.93848,0.75,0.87232,0.6368,0.85259,1.03646,1.07187,0.0013664,0.0013664,0.0013664
18,670.194,0.73576,0.73844,0.9803,0.95934,0.76471,0.90441,0.66753,0.86536,0.97151,1.10168,0.0013268,0.0013268,0.0013268
19,708.016,0.6972,0.71844,0.9762,0.91117,0.83824,0.8972,0.66523,0.91888,0.95485,1.18889,0.0012872,0.0012872,0.0012872
20,744.649,0.7028,0.70469,0.98583,0.93299,0.85294,0.89917,0.71491,0.80716,0.89182,1.04058,0.0012476,0.0012476,0.0012476
21,781.745,0.66412,0.6456,0.96765,0.93059,0.83824,0.91329,0.70694,0.79184,0.9065,1.04526,0.001208,0.001208,0.001208
22,818.813,0.66877,0.65153,0.95242,0.96532,0.82353,0.91629,0.69131,0.80088,0.89578,1.04327,0.0011684,0.0011684,0.0011684
23,855.255,0.66828,0.67127,0.98787,0.9009,0.80224,0.92018,0.6862,0.84683,1.025,1.10837,0.0011288,0.0011288,0.0011288
24,891.703,0.71568,0.66259,0.9906,0.939,0.91176,0.95097,0.68065,0.85184,0.83816,1.06079,0.0010892,0.0010892,0.0010892
25,928.621,0.66952,0.62647,0.95869,0.94069,0.93298,0.94729,0.69567,0.80209,0.79016,1.05955,0.0010496,0.0010496,0.0010496
26,966.037,0.68681,0.61854,0.97561,0.98358,0.88081,0.95312,0.6984,0.84985,0.78993,1.06828,0.00101,0.00101,0.00101
27,1003.53,0.69558,0.62636,0.96922,0.91955,0.91176,0.94976,0.72659,0.80609,0.75341,1.06247,0.0009704,0.0009704,0.0009704
28,1040.9,0.67325,0.60428,0.94064,0.94046,0.92915,0.95545,0.71773,0.75692,0.68323,1.05686,0.0009308,0.0009308,0.0009308
29,1078.2,0.6325,0.57393,0.9518,0.95502,0.93672,0.95261,0.74149,0.73131,0.64889,1.04296,0.0008912,0.0008912,0.0008912
30,1115.51,0.61753,0.55545,0.93545,0.96034,0.89706,0.95629,0.72809,0.75757,0.71004,1.0506,0.0008516,0.0008516,0.0008516
31,1152.95,0.61439,0.54935,0.93544,0.89545,0.94118,0.96566,0.72,0.75116,0.72527,1.04904,0.000812,0.000812,0.000812
32,1190.44,0.6455,0.5525,0.9544,0.96379,0.92647,0.96994,0.71433,0.75569,0.67146,1.03316,0.0007724,0.0007724,0.0007724
33,1228.07,0.62254,0.56737,0.9446,0.95327,0.92647,0.97428,0.70916,0.82473,0.64632,1.0409,0.0007328,0.0007328,0.0007328
34,1266.21,0.60312,0.52167,0.94934,0.96832,0.94118,0.97707,0.74488,0.73586,0.6365,1.02684,0.0006932,0.0006932,0.0006932
35,1304.3,0.61841,0.51755,0.92985,0.95188,0.92647,0.97008,0.74529,0.71435,0.67171,1.02143,0.0006536,0.0006536,0.0006536
36,1342.31,0.61449,0.5132,0.93257,0.9545,0.92542,0.96716,0.74519,0.74522,0.63502,1.03134,0.000614,0.000614,0.000614
37,1380.24,0.55522,0.50426,0.92491,0.96576,0.92647,0.96855,0.76496,0.68587,0.62232,1.00202,0.0005744,0.0005744,0.0005744
38,1418.2,0.55798,0.50079,0.94103,0.96883,0.92647,0.96888,0.76566,0.68779,0.63109,0.99952,0.0005348,0.0005348,0.0005348
39,1456.21,0.5622,0.47967,0.92923,0.96769,0.92647,0.97341,0.75416,0.70391,0.6129,1.00649,0.0004952,0.0004952,0.0004952
40,1494.89,0.57087,0.49539,0.92573,0.96771,0.92647,0.97131,0.76601,0.70285,0.63946,1.01455,0.0004556,0.0004556,0.0004556
41,1533.36,0.54466,0.61878,0.92255,0.93477,0.91176,0.9623,0.7607,0.72903,0.75195,1.02808,0.000416,0.000416,0.000416
42,1571.58,0.53899,0.55339,0.88788,0.95043,0.84597,0.93114,0.73924,0.71969,0.89252,1.00505,0.0003764,0.0003764,0.0003764
43,1609.75,0.4959,0.5317,0.90979,0.94918,0.82396,0.92749,0.74231,0.70642,0.93143,0.99332,0.0003368,0.0003368,0.0003368
44,1647.96,0.48972,0.51819,0.8763,0.93758,0.88359,0.93834,0.74936,0.69206,0.75971,0.99727,0.0002972,0.0002972,0.0002972
45,1686.25,0.49562,0.48829,0.90548,0.96364,0.88235,0.95348,0.75648,0.65971,0.68457,0.97538,0.0002576,0.0002576,0.0002576
46,1724.3,0.46831,0.46678,0.89143,0.94931,0.88235,0.95205,0.7509,0.66252,0.67885,0.97418,0.000218,0.000218,0.000218
47,1762.07,0.47636,0.46905,0.90467,0.93826,0.89398,0.95127,0.75761,0.65815,0.68653,0.98001,0.0001784,0.0001784,0.0001784
48,1799.38,0.47912,0.46497,0.89649,0.96816,0.89438,0.94008,0.7634,0.63934,0.70585,0.96874,0.0001388,0.0001388,0.0001388
49,1836.48,0.45719,0.44387,0.87712,0.95177,0.89706,0.93874,0.75939,0.6284,0.714,0.96152,9.92e-05,9.92e-05,9.92e-05
50,1873.77,0.44446,0.44672,0.88774,0.96648,0.89706,0.94319,0.76336,0.62372,0.70558,0.96394,5.96e-05,5.96e-05,5.96e-05
